state,state_code,grid_id,latitude,longitude,value
Illinois,IL,IL_1,34.797527141841954,-94.14637032352455,19.065595554065524
Illinois,IL,IL_2,39.03989084715633,-90.16250411460513,16.104841859610634
Illinois,IL,IL_3,43.553686881890336,-89.91114886256673,20.96538425535569
Illinois,IL,IL_4,38.91963040391434,-101.7984872185416,16.690154811650746
Illinois,IL,IL_5,40.404352481167095,-86.99773135394732,19.60272818811738
Illinois,IL,IL_6,39.104966894600324,-87.02645212879884,21.61961253045427
Illinois,IL,IL_7,42.72501565734506,-84.46505146588193,18.05508266104959
Illinois,IL,IL_8,37.428260426809096,-98.30186860772979,21.93758732053346
Illinois,IL,IL_9,37.33948637122306,-88.2770847780486,20.133616872186277
Illinois,IL,IL_10,39.439714577656574,-90.87475542333763,16.640274563037007
Iowa,IA,IA_1,42.10260334607031,-89.26544273569428,18.92458868332049
Iowa,IA,IA_2,36.411938338474336,-86.48366054442042,17.84874891408975
Iowa,IA,IA_3,36.713785174388136,-82.99016192911178,14.871299812004734
Iowa,IA,IA_4,44.13325042920849,-91.61714496646768,19.13686884267558
Iowa,IA,IA_5,41.13562716072288,-89.58400229332763,18.389976738288226
Iowa,IA,IA_6,36.249030375555165,-80.19446767702995,17.590364404312087
Iowa,IA,IA_7,40.37655126675071,-101.39381059752466,19.263911742337285
Iowa,IA,IA_8,38.2838036586445,-84.64551288682006,16.537655430271688
Iowa,IA,IA_9,45.48083547124679,-87.46086370815146,18.489916559400232
Iowa,IA,IA_10,37.93261256655901,-90.08904428152178,17.262666425786428
Nebraska,NE,NE_1,36.331453036204074,-85.96264634728476,19.65450059274249
Nebraska,NE,NE_2,43.20154287636225,-89.13771761564153,17.532948491516148
Nebraska,NE,NE_3,40.048093459891746,-95.19406936705748,21.615713681157803
Nebraska,NE,NE_4,42.511665080125184,-97.89046267276348,14.577174151674972
Nebraska,NE,NE_5,36.11958128722137,-99.10844400384724,18.476241584608722
Nebraska,NE,NE_6,41.132148090976244,-91.17539960065662,16.70140993904556
Nebraska,NE,NE_7,38.24127233925458,-82.99041203163817,18.54697657310518
Nebraska,NE,NE_8,39.51314024575938,-89.42635204580561,16.682744516962803
Nebraska,NE,NE_9,40.69885036413188,-96.56108275462903,21.951355156410408
Nebraska,NE,NE_10,43.59884051870933,-92.59255319042869,17.49181408879837
Minnesota,MN,MN_1,43.090746194254535,-86.93606732466455,14.969389498234737
Minnesota,MN,MN_2,41.13220892823361,-86.5652976334442,15.263835002797238
Minnesota,MN,MN_3,39.813274322846645,-89.46020935053733,17.314456708260867
Minnesota,MN,MN_4,43.0190660703011,-89.38552199824717,18.71073260104447
Minnesota,MN,MN_5,38.599188695776384,-80.42744665354012,19.028376802023004
Minnesota,MN,MN_6,36.635408143286625,-94.1891015229365,14.476718818258234
Minnesota,MN,MN_7,43.27783309747843,-97.3394696219376,18.69775580852569
Minnesota,MN,MN_8,40.30521230588018,-86.97729250640562,22.609563048497453
Minnesota,MN,MN_9,43.53444825348849,-82.11438032619073,15.541241730239149
Minnesota,MN,MN_10,40.25479683905059,-93.15170481846106,19.027911086772463
Indiana,IN,IN_1,39.77290311791469,-82.7571737684191,19.2621487523385
Indiana,IN,IN_2,39.101397308593796,-87.1109630999619,19.74153361088841
Indiana,IN,IN_3,40.5072583706771,-81.8340282722121,16.341681537841595
Indiana,IN,IN_4,37.11348920052775,-95.31755811322665,15.001983617166482
Indiana,IN,IN_5,39.46508370655859,-91.27496162083078,15.358832411669743
Indiana,IN,IN_6,40.84401183894786,-86.8573791469217,18.30756112786669
Indiana,IN,IN_7,40.86935719378025,-92.89769313831442,17.221425079388425
Indiana,IN,IN_8,36.98515367506662,-95.4837837498845,16.104652712958107
Indiana,IN,IN_9,38.26741659843551,-97.29277256339563,16.10995367003952
Indiana,IN,IN_10,39.20928733403421,-85.69580473511112,20.131900544273538
